


| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      132.4647 | Layer 1 | Epoch 36  |
|             0 |     2495.2224 | Layer 2 | Epoch 36  |
|           100 |      136.1615 | Layer 1 | Epoch 36  |
|           100 |     1320.5525 | Layer 2 | Epoch 36  |
|           200 |      127.1020 | Layer 1 | Epoch 36  |
|           200 |     1254.9929 | Layer 2 | Epoch 36  |
|           300 |      130.5463 | Layer 1 | Epoch 36  |
|           300 |     1229.6777 | Layer 2 | Epoch 36  |
|           400 |      128.0844 | Layer 1 | Epoch 36  |
|           400 |     1224.9644 | Layer 2 | Epoch 36  |
|           500 |      130.2847 | Layer 1 | Epoch 36  |
